FILENAME,BJD_TDB,RV,RV_ERR,BC,ADU,CHI2
"r20050719.130",13570.82245300012,3.505593767136858,1.55190,-11878.73828125000,28506,1.09105
"r20050724.155",13576.03005099995,19.79925088357936,1.63460,-14452.29980468750,26088,1.07366
"r20070530.181",14251.05116500007,6.192208857248829,1.31919,10077.02929687500,70105,1.32756
"r20070806.131",14318.85930899996,29.61157529534855,1.16074,-18642.92578125000,123279,1.32399
"r20070827.129",14339.75679600006,20.62544151746243,1.20143,-24248.97070312500,52459,1.22454
"r20070831.168",14343.88757900009,22.90268222357858,1.16845,-25386.95312500000,68910,1.18357
"r20080616.103",14633.91828799993,14.92963809831118,1.30980,2528.648925781250,43956,1.14584
"r20080617.111",14634.90066700010,16.66510804558969,1.27732,2124.660888671875,43890,1.18962
"r20080618.127",14635.92700400017,15.76483903666924,1.31740,1582.609008789062,44495,1.21109
"r20080619.150",14637.05918500014,5.350959880287687,1.38115,725.6079711914062,43641,1.12461
"r20080620.136",14637.93360899994,12.67883485948702,1.25767,641.8939819335938,44049,1.14317
"r20080621.132",14638.97746400023,9.564769226891785,1.19704,41.97299957275391,44004,1.16310
"r20080622.142",14639.98789200000,6.768617067285041,1.21785,-450.3380126953125,43675,1.11346
"r20080624.112",14641.94392899983,6.168301190225931,1.37469,-1232.609008789062,43511,1.15455
"r20080626.122",14644.08106999984,5.038636278945113,1.39716,-2528.388916015625,43904,1.12852
"r20080727.97",14674.84498299984,5.629207014113859,1.33778,-15227.66406250000,42917,1.13176
"r20080810.94",14688.84425899992,-4.253188018119012,1.36173,-20164.93359375000,43175,1.11619
"r20090408.150",14930.06806600001,11.29218158083830,1.31989,26210.70703125000,43137,1.14130
"r20090408.151",14930.06998800021,8.042111750896765,2.11382,26205.60937500000,10451,1.04596
"r20090504.155",14956.13027699990,2.703147501743729,1.31766,19664.68164062500,43516,1.15149
"r20090512.188",14964.04795299983,11.16241432346862,1.39830,17147.16796875000,43672,1.21384
"r20090602.203",14985.10787500022,-2.519021597331971,1.52117,8406.015625000000,44356,1.11699
"r20090704.192",15016.95675700018,-15.69894086615309,1.27023,-5741.317871093750,44651,1.15936
"r20090706.162",15019.01352099981,-17.56470912854448,1.47788,-6794.459960937500,44534,1.17067
"r20090729.100",15041.90704100020,-7.424669333649895,1.37054,-16091.20507812500,44833,1.13693
"r20090731.77",15043.79455500003,-10.64403711108744,1.34509,-16489.39453125000,44838,1.10754
"r20090805.15",15048.78360400023,-12.55045949516604,1.49221,-18227.92578125000,45347,1.13864
"r20090903.67",15077.73078100011,-9.779774800046935,1.22420,-25585.13476562500,46288,1.10839
"r20091002.66",15106.74458699999,4.101306474593583,1.24891,-27119.19335937500,45232,1.06864
"r20091031.84",15135.73588200007,10.73524041033264,1.35121,-21953.04882812500,45030,1.08419
"r20100201.83",15229.17175599979,-0.3867209116689878,1.32719,18765.58203125000,44769,1.15395
"r20100204.242",15232.15640099999,-8.455509765310921,1.33781,19822.77734375000,45103,1.14493
"r20100228.209",15256.14293299988,-16.70204599593376,1.23690,25916.54687500000,45075,1.15391
"r20100330.215",15286.11724899989,-12.77409844131779,1.26716,27179.58203125000,45893,1.12196
"r20100603.130",15350.93417500006,-16.44921525149363,1.18393,8624.264648437500,45382,1.13086
"r20100703.78",15380.78775499994,-12.00465005431684,1.43022,-4645.333984375000,45970,1.15578
"r20100916.70",15455.72913799994,5.434927534044107,1.18593,-27060.35742187500,45950,1.09677
"r20101017.64",15486.73486700002,-3.333334590901732,1.22774,-25291.20507812500,46340,1.11804
"r20101031.77",15500.71743000019,3.340485610132745,1.28258,-22020.89843750000,46102,1.09518
"r20101121.66",15521.68693199987,-10.90604161756386,1.52381,-14664.94726562500,47574,1.11482
"r20101122.64",15522.68230200000,-11.15196189161322,1.34644,-14255.33300781250,46481,1.14971
"r20110214.128",15607.14064799994,-22.13091790131534,1.29542,22823.35156250000,45560,1.18129
"r20110315.76",15636.13814100018,-15.54300176124468,1.15671,27447.26953125000,46533,1.23810
"r20110416.118",15668.08654899988,-14.19991814660688,1.17166,24801.84765625000,46274,1.19430
"r20110417.116",15669.01532900007,-13.19423237321598,1.24294,24783.50976562500,45750,1.20208
"r20110419.140",15671.06473099999,-6.649465994375163,1.32214,24209.75976562500,45882,1.16772
"r20110519.257",15701.12940199999,6.790022242514254,1.36206,14436.30566406250,46274,1.19472
"r20110611.112",15723.91938399989,5.284231703006956,1.31375,5171.055175781250,45876,1.17189
"r20110824.66",15797.73177300021,-2.666049581160422,1.23201,-23487.71875000000,46196,1.19615
"r20111007.76",15841.76275000023,-18.40270466002793,1.38068,-26789.67578125000,43784,1.12044
"r20120622.69",16100.80823899992,-1.484349196877939,1.27839,90.22299957275391,45606,1.12546
"r20121007.76",16207.70767799998,1.725543981155494,1.27747,-26608.83007812500,46346,1.11398
"r20130704.67",16477.76611299999,-17.55156056365653,1.30671,-5162.597167968750,45346,1.11407
"r20140620.166",16829.12056400022,3.712508080233849,1.42946,387.4360046386719,46872,1.14067
"r20140726.68",16864.74881399982,0.1857159352204789,1.26709,-14365.05957031250,46241,1.16059
"r20140908.66",16908.72781400010,-13.97665869197632,1.17537,-26277.07226562500,46218,1.12792
"r20150628.97",17201.89939399995,-18.10780278501484,1.33134,-2595.023925781250,46459,1.15030
"r20160330.7",17478.12188600004,-12.08503387681787,1.40819,27118.67578125000,46275,1.15988
