# of Stars,test %,Seed #,Telluric,MSE T_{eff},MSE log g,MSE vsini,MSE [Fe/H],Notes
733,20.0,32,True,47732.962,0.17690851800000001,7.353965065,0.012286501000000002,average shift of 16 echelle orders
733,20.0,32,False,47428.70132,0.173665703,7.360702583999999,0.011829115,average shift of 16 echelle orders
733,20.0,32,True,44894.41869,0.166645094,8.260018848,0.012202478000000001,only the 3rd echelle order for shift
733,20.0,32,False,43887.027330000004,0.161969455,8.293099301,0.011794665,only the 3rd echelle order for shift
732,20.0,32,False,31998.0012,0.125824718,5.682755657,0.010604823999999999,"Alpha Norm was used,only the 3rd echelle order for shift"
732,20.0,32,True,32135.722660000003,0.126920528,5.728740772,0.010950393999999999,"Alpha Norm was used,only the 3rd echelle order for shift"
732,20.0,32,False,28908.92185,0.113882938,5.082371851,0.009665926,"Alpha Norm was used,only the 1st echelle order for shift"
732,20.0,32,False,32272.428439999996,0.118783405,4.553661281,0.01115816,"Alpha Norm was used,only the 2nd echelle order for shift"
732,20.0,32,False,30499.55963,0.125024843,5.538598943999999,0.010598373999999999,"Alpha Norm was used,only the 4th echelle order for shift"
732,20.0,32,False,29017.739530000003,0.118604776,4.814367485,0.009671157,"Alpha Norm was used,only the 5th echelle order for shift"
732,20.0,32,False,31132.956830000003,0.122198234,4.705689275,0.00980489,"Alpha Norm was used,only the 6th echelle order for shift"
732,20.0,32,False,32535.50705,0.122883471,5.691790967999999,0.010819984,"Alpha Norm was used,only the 7th echelle order for shift"
732,20.0,32,False,30755.830060000004,0.133018271,4.700374392,0.010138695999999999,"Alpha Norm was used,only the 8th echelle order for shift"
732,20.0,32,False,32866.61889,0.13535374,5.331261178,0.010293608000000001,"Alpha Norm was used,only the 9th echelle order for shift"
732,20.0,32,False,29889.91688,0.109940644,4.6587755280000005,0.011915608000000001,"Alpha Norm was used,only the 10th echelle order for shift"
732,20.0,32,False,28844.08142,0.12477641699999999,5.580097361,0.00985518,"Alpha Norm was used,only the 11th echelle order for shift"
732,20.0,32,False,30804.354560000003,0.127258999,5.137591255,0.009504393,"Alpha Norm was used,only the 12th echelle order for shift"
732,20.0,32,False,29720.619339999997,0.12327091400000001,4.617343991,0.009576074,"Alpha Norm was used,only the 13th echelle order for shift"
732,20.0,32,False,30893.50295,0.125487649,4.83162806,0.009730177,"Alpha Norm was used,only the 14th echelle order for shift"
732,20.0,32,False,37004.49773,0.128993091,5.201162555,0.011714509,"Alpha Norm was used,only the 15th echelle order for shift"
732,20.0,32,False,27426.04303,0.12545577900000002,5.51129931,0.008902261,"Alpha Norm was used,only the 16th echelle order for shift"
732,20.0,3,False,22640.61867,0.080615408,3.861074383,0.021648918,"Alpha Norm was used,only the 16th echelle order for shift"
732,20.0,32,False,28837.21277,0.133694173,5.347683502,0.009198919,"Alpha Norm was used,only the 16th echelle order for shift"
732,20.0,3,False,22804.62275,0.079525179,3.688333467,0.021096787000000002,"Alpha Norm was used,only the 16th echelle order for shift, 300 used for cross cor"
732,15.0,3,False,28178.79105,0.08990031300000001,3.6945048639999998,0.026254831,"Alpha Norm was used,only the 16th echelle order for shift, 300 used for cross cor"
732,10.0,3,False,21369.85179,0.091808914,3.9481606030000003,0.011617245,"Alpha Norm was used,only the 16th echelle order for shift, 300 used for cross cor"
732,5.0,3,False,25617.003230000002,0.134066884,4.084064355,0.006511817,"Alpha Norm was used,only the 16th echelle order for shift, 300 used for cross cor"
732,10.0,32,False,24721.88352,0.139814655,5.064815907,0.007509470999999999,"Alpha Norm was used,only the 16th echelle order for shift, 300 used for cross cor"
732,10.0,32,False,19918.99225,0.11047339800000001,3.915944568,0.0059914009999999995,"Alpha Norm was used,only the 16th echelle order for shift, 300 used for cross cor, by eye iodine mask applied"
732,10.0,3,True,26311.593487286143,0.10979374755086477,4.284065569455191,0.013777448120339023,NA
